pais,fecha_proceso,transporte,ruta,tipo_entrega,material,precio,cantidad,unidad
EC,20250309,84840860,943537,Z04,FA050001,16.115560169153356500,19.000000000000000000,CS
HN,20250625,115559840,970029,ZPRE,BA018510,31.830711710953318300,39.000000000000000000,ST
JM,20250302,158744322,974298,ZPRE,FA050002,15.659351150741589000,0.000000000000000000,CS
HN,20250303,67519184,974840,ZVE1,BA018426,28.902239992723875000,111.000000000000000000,CS
EC,20250424,154015657,918591,COBR,GA060002,29.415104611682871200,0.000000000000000000,CS
SV,20250515,141030737,937931,ZPRE,HA070001,49.697615053763199250,52.000000000000000000,ST
PE,20250616,133917739,924969,Z04,FA050003,16.846429832883380400,43.000000000000000000,ST
JM,20250525,150490443,982067,ZPRE,HA070001,47.037230599594053000,53.000000000000000000,ST
PE,20250107,89906701,917791,Z05,CA022002,47.920197842087868000,19.000000000000000000,CS
SV,20250306,65831820,930513,Z04,CA022002,44.353769439821881500,52.000000000000000000,ST
SV,20250210,88898924,982398,Z99,HA070003,59.298902134770721500,130.000000000000000000,CS
EC,20250107,127543750,959667,Z05,AA004012,34.509104037600634000,26.000000000000000000,ST
EC,20250306,127543750,962207,ZVE1,HA070003,57.447726860536133000,140.000000000000000000,CS
HN,20250601,100177238,989849,ZVE1,AA005101,31.111242330823429720,28.000000000000000000,CS
EC,20250424,143499312,922313,ZPRE,EA040002,21.635536955508905000,84.000000000000000000,CS
SV,20250318,80868106,930513,ZPRE,CA022002,48.760214081031643500,2.000000000000000000,ST
SV,20250525,108181397,910459,ZVE1,CA022010,20.240444049727799200,142.000000000000000000,CS
HN,20250625,129937265,972769,ZPRE,FA050002,16.285142077759710000,14.000000000000000000,ST
SV,20250529,73718432,986674,Z05,FA050002,15.972901714897176000,73.000000000000000000,CS
HN,20250529,159668025,904086,ZPRE,XX975644,59.886495847395844000,79.000000000000000000,CS
JM,20250304,158744322,907127,Z04,HA070003,55.102788704297636500,5.000000000000000000,ST
EC,20250515,123989420,996875,ZVE1,EA040002,21.716784416582250600,5.000000000000000000,CS
GT,,105571778,910877,Z05,AA005101,32.663972221791262720,80.000000000000000000,CS
EC,20250302,72649024,990170,ZVE1,DA030003,61.381616804533443900,16.000000000000000000,CS
SV,20250317,95503390,906007,Z04,GA060002,27.916297262216193600,101.000000000000000000,CS
JM,20250309,100078727,939764,Z05,AA004003,33.980481020818390185,19.000000000000000000,ST
